/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt11_643_645.qdimacs,YES,YES,154.399,12185.4,12186.1,12340.5,2762,437416,5.36922e+07,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt16_0_1.qdimacs,YES,YES,26.804,20994.4,20994.6,21021.5,782,428218,2.68746e+07,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt137_903_911.qdimacs,YES,YES,266.196,2.07788e+06,2.07788e+06,2.07815e+06,3440,2.22898e+06,1.51694e+08,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt18_258_260.qdimacs,YES,YES,117.571,327396,327396,327514,2330,2.6388e+06,1.6475e+08,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt1_145_146.qdimacs,YES,YES,20.4384,10.7251,10.8769,31.3243,422,47012,1.24282e+07,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt1_20_21.qdimacs,YES,YES,23.7415,4.29286,4.38089,28.1309,320,26572,1.165e+07,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt1_811_812.qdimacs,YES,YES,58.5943,2881.81,2882.19,2940.8,1366,192136,2.66827e+07,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt1_919_920.qdimacs,YES,YES,197.757,1.96431e+06,1.96431e+06,1.96451e+06,3269,1.07003e+06,1.11889e+08,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt24_148_149.qdimacs,YES,YES,22.4032,6.7568,6.88101,29.2924,343,33726,1.19175e+07,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt24_292_293.qdimacs,YES,YES,124.921,17901.5,17902.1,18027,2410,782852,9.94679e+07,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt24_7_8.qdimacs,YES,YES,9.4461,0.260644,0.307054,9.76359,64,2044,1.06218e+07,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt27_296_297.qdimacs,YES,YES,129.962,59907.6,59908.1,60038.1,2490,560056,9.17204e+07,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt27_946_955.qdimacs,YES,YES,267.409,247278,247280,247547,3735,3.21828e+06,1.87317e+08,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt2_649_723.qdimacs,YES,YES,137.536,65430.7,65431.6,65569.1,2733,613200,9.39376e+07,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt2_649_776.qdimacs,YES,YES,205.871,22166.7,22168,22373.9,3281,692916,9.75739e+07,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt2_649_647.qdimacs,YES,YES,131.341,186988,186989,187120,2645,978054,1.06819e+08,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt2_480_551.qdimacs,YES,YES,268.627,3.18917e+06,3.18917e+06,3.18944e+06,3585,2.54682e+06,1.64902e+08,
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt3_639_640.qdimacs,YES,YES,80.3088,175853,175853,175934,2026,1.09558e+06,1.10634e+08,
